image_name, x, y, w, h
img_393.jpg, 153, 246, 90, 101
img_764.jpg, 71, 105, 168, 195
img_267.jpg, 128, 120, 100, 96
img_1041.jpg, 47, 78, 173, 161
img_594.jpg, 226, 119, 140, 123
img_229.jpg, 78, 72, 79, 89
img_978.jpg, 150, 65, 95, 109
img_296.jpg, 143, 51, 79, 85
img_415.jpg, 250, 81, 146, 150
img_923.jpg, 163, 57, 92, 98
img_575.jpg, 105, 67, 110, 139
img_182.jpg, 265, 47, 73, 90
img_989.jpg, 139, 105, 127, 135
img_789.jpg, 236, 31, 93, 82
img_16062.jpg, 70, 94, 151, 173
img_244.jpg, 109, 53, 70, 76
img_805.jpg, 96, 88, 161, 187
img_416.jpg, 66, 42, 78, 82
img_836.jpg, 40, 82, 259, 259
img_363.jpg, 189, 46, 80, 87
img_917.jpg, 35, 108, 216, 223
img_206.jpg, 217, 43, 84, 91
img_311.jpg, 166, 79, 141, 142
img_661.jpg, 84, 69, 88, 103
img_463.jpg, 54, 103, 181, 198
img_669.jpg, 171, 87, 79, 89
img_209.jpg, 130, 146, 158, 191
img_911.jpg, 125, 64, 126, 133
img_1212.jpg, 80, 74, 103, 111
img_578.jpg, 126, 60, 88, 98
img_554.jpg, 38, 93, 191, 193
img_484.jpg, 56, 104, 177, 198
img_450.jpg, 83, 183, 133, 128
img_542.jpg, 48, 109, 216, 237
img_360.jpg, 71, 112, 237, 247
img_250.jpg, 32, 88, 215, 190
img_647.jpg, 115, 45, 92, 96
img_375.jpg, 82, 112, 230, 250
img_16990.jpg, 154, 85, 150, 161
img_239.jpg, 114, 55, 98, 117
img_528.jpg, 120, 52, 88, 90
img_15108.jpg, 177, 135, 79, 85
img_623.jpg, 92, 77, 139, 153
img_19590.jpg, 156, 65, 73, 71
img_978.jpg, 122, 102, 132, 139
img_16692.jpg, 71, 98, 177, 194
img_618.jpg, 242, 64, 98, 115
img_722.jpg, 86, 33, 60, 63
img_569.jpg, 66, 118, 217, 269
img_398.jpg, 99, 255, 135, 132
img_893.jpg, 102, 59, 114, 133
img_261.jpg, 132, 51, 102, 90
img_15093.jpg, 83, 131, 82, 98
img_351.jpg, 57, 85, 162, 158
img_133.jpg, 41, 65, 115, 133
img_16880.jpg, 35, 4, 312, 333
img_350.jpg, -40, 44, 347, 383
img_624.jpg, 145, 56, 82, 99
img_604.jpg, 96, 94, 171, 171
img_290.jpg, 98, 98, 187, 213
img_251.jpg, 86, 79, 124, 147
img_538.jpg, 275, 128, 118, 140
img_613.jpg, 93, 78, 122, 144
img_351.jpg, 70, 53, 92, 98
img_368.jpg, 61, 97, 220, 230
img_445.jpg, 175, 60, 97, 111
img_734.jpg, 165, 90, 76, 77
img_530.jpg, 79, 1, 283, 288
img_561.jpg, 275, 66, 57, 64
img_1494.jpg, 56, 122, 208, 242
img_198.jpg, 124, 135, 102, 110
img_562.jpg, 78, 99, 208, 203
img_15629.jpg, 47, 128, 232, 243
img_58.jpg, 118, 44, 64, 72
img_241.jpg, 85, 51, 90, 94
img_533.jpg, 203, 84, 61, 71
img_249.jpg, 89, 72, 104, 121
img_64.jpg, 56, 105, 171, 159
img_537.jpg, 214, 102, 160, 184
img_606.jpg, 252, 74, 98, 102
img_405.jpg, 122, 64, 185, 179
img_562.jpg, 125, 88, 116, 124
img_514.jpg, 64, 96, 191, 202
img_314.jpg, 108, 42, 79, 82
img_479.jpg, 69, 89, 163, 171
img_410.jpg, 74, 110, 154, 163
img_417.jpg, 51, 96, 213, 227
img_547.jpg, 173, 74, 92, 106
img_396.jpg, 62, 71, 182, 174
img_187.jpg, 92, 155, 171, 188
img_569.jpg, 143, 73, 99, 101
img_1081.jpg, 125, 104, 154, 160
img_504.jpg, 50, 84, 170, 170
img_785.jpg, 22, 57, 292, 302
img_1156.jpg, 45, 141, 219, 233
img_1456.jpg, 50, 74, 125, 135
img_378.jpg, 42, 108, 211, 239
img_39.jpg, 187, 63, 80, 85
img_676.jpg, 53, 92, 161, 157
img_214.jpg, 56, 112, 167, 165
img_512.jpg, 75, 136, 188, 191
img_19685.jpg, 208, 50, 110, 129
img_277.jpg, 79, 79, 130, 159
img_18154.jpg, 173, 72, 96, 107
img_19926.jpg, 90, 63, 125, 143
img_791.jpg, 32, 202, 82, 84
img_827.jpg, 69, 86, 121, 128
img_878.jpg, 117, 49, 68, 73
img_670.jpg, 138, 58, 113, 104
img_182.jpg, 141, 85, 126, 127
img_587.jpg, 78, 68, 109, 114
img_577.jpg, 95, 76, 104, 107
img_585.jpg, 116, 62, 100, 108
img_310.jpg, 88, 111, 54, 58
img_332.jpg, 95, 115, 225, 216
img_789.jpg, 47, 119, 224, 234
img_798.jpg, 160, 67, 63, 67
img_1729.jpg, 128, 86, 100, 111
img_95.jpg, 215, 124, 106, 116
img_269.jpg, 228, 58, 89, 84
img_621.jpg, 50, 107, 169, 168
img_772.jpg, 226, 97, 138, 156
img_171.jpg, 107, 48, 93, 103
img_429.jpg, 95, 101, 165, 155
img_1933.jpg, 104, 40, 77, 85
img_19629.jpg, 97, 40, 72, 66
img_600.jpg, 106, 92, 173, 211
img_666.jpg, 184, 54, 87, 89
img_2659.jpg, 211, 63, 115, 128
img_18929.jpg, 60, 78, 171, 166
img_774.jpg, 145, 33, 80, 104
img_249.jpg, 137, 63, 115, 120
img_2427.jpg, 97, 89, 143, 167
img_108.jpg, 63, 34, 70, 74
img_115.jpg, 190, 48, 76, 89
img_521.jpg, 84, 144, 129, 145
img_1163.jpg, 51, 120, 164, 160
img_62.jpg, 78, 118, 150, 174
img_466.jpg, 139, 82, 119, 126
img_956.jpg, 105, 58, 101, 110
img_130.jpg, 116, 60, 65, 72
img_874.jpg, 116, 41, 73, 77
img_489.jpg, 120, 138, 98, 104
img_548.jpg, 52, 119, 203, 226
img_755.jpg, 131, 44, 88, 81
img_1044.jpg, 158, 67, 97, 98
img_680.jpg, 167, 116, 67, 76
img_330.jpg, 215, 79, 130, 134
img_344.jpg, 65, 133, 205, 229
img_1006.jpg, 75, 47, 63, 74
img_337.jpg, 163, 78, 106, 118
img_834.jpg, 52, 120, 217, 262
img_552.jpg, 93, 60, 105, 123
img_15213.jpg, 211, 77, 143, 168
img_18290.jpg, 113, 53, 91, 99
img_475.jpg, 44, 115, 188, 211
img_1083.jpg, 121, 67, 84, 100
img_18955.jpg, 213, 108, 178, 184
img_17232.jpg, 108, 46, 90, 101
img_480.jpg, 79, 0, 214, 247
img_1311.jpg, 116, 41, 71, 79
img_193.jpg, 276, 121, 92, 94
img_228.jpg, 154, 62, 113, 126
img_836.jpg, 63, 132, 227, 264
